№п/п;Область;Індекс дороги;Назва дороги;Початок ділянки КМ+м;Кінець ділянки КМ+м;GPS-координати, початок (широта/довгота);GPS-координати, кінець (широта/довгота);Коефіцієнт пригод;Ступінь небезпеки;Кількість ДТП за три роки до взяття на облік
1;Вінницька;М-30 ;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);351+200 ;351+600;49.339347, 28.063269;49.336843 28.067053;0,5;Малонебезпечні;8
2;Вінницька;М-30 ;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);367+560;367+761;49.279056, 28.256072;49.279571 28.258492;0,36;null;5
3;Вінницька;М-30 ;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);404+184;404+705;49.205131, 28.602508;49.202560 28.608274 ;0,71;Малонебезпечні;10
4;Вінницька;М-30 ;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);406+904;407+300;49.192665, 28.634312;49.190407 28.638263;0,44;Малонебезпечні;6
5;Вінницька;М-30 ;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);490+918;490+918  ;48.80938066, 29.40591751;48.80938066 29.40591751;0,31;null;4
6;Волинська;М-19;Доманове – Ковель – Чернівці – Тереблече (на м. Бухарест);154+650;155+170;50.776364, 25.397880;50.765223, 25.399972;0,76;Малонебезпечні;8
7;Волинська;М-19;Доманове – Ковель – Чернівці – Тереблече (на м. Бухарест);155+590;155+608;50.761070, 25.400219;50.76109699, 25.40002785;0,67;Малонебезпечні;7
8;Волинська;Н-22;Устилуг – Луцьк – Рівне;98+000;98+100;50.7485417,25.4507788;50.7486267,25.4520991;0,18;null;4
9;Волинська;Р-15;Р-15 Ковель – Володимир-Волинський – Червоноград – Жовква;74+265 ;74+422;50.74250889625,24.1587619475;50.74174762,24.15691358;0,25;null;4
10;Волинська;Р-15;Р-15 Ковель – Володимир-Волинський – Червоноград – Жовква;75+861 ;76+651;50.72963678,24.15133179;50.72317796,24.15487657;0,44;Малонебезпечні;7
11;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);916+000;916+880;48.30427755, 34.41340717;48.3089691535, 34.422858778000005;0,42;Малонебезпечні;6
12;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);956+289 ;956+389;48.4210925,34.9133945;48.4210925,34.9147185;0,23;null;5
13;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);985+507;985+668;48.564897, 35.100921;48,566271, 35.101554;1,1;Небезпечні;13
14;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);987+289 ;987+489;48.5767266,35.11615;48.5777375,35.1183648;0,23;null;5
15;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);990+000;990+680;48.58796022, 35.1486402;48.591399392, 35.156550071;0,28;null;4
16;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1036+000;1036+200;48.55663012, 35.7326967;48.556028846, 35.735473938000005;0,41;Малонебезпечні;5
17;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1041+400;1042+100;48.53972768, 35.800678489999996;48.536960541999996, 35.8091848565;0,32;null;4
18;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1095+450;1095+543;48.4245012055, 36.413105651;48.42512673, 36.41420223;0,42;Малонебезпечні;5
19;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1099+300;1099+550;48.4328426, 364633821;48.4331079, 364664663;0,34;null;4
20;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1100+000;1100+500;48.4336797,36.4726361;48.4344682,36.4794202;0,59;Малонебезпечні;7
21;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1103+500;1104+300;48.434460371, 36.519058220999995;48.431689559411765, 36.52903563176471;0,56;Малонебезпечні;7
22;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1117+700;1118+300;48.3916312275, 36.697719901875;48.389377584, 36.704602718500006;0,56;Малонебезпечні;7
23;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1118+900;1119+090;48.387035261499996, 36.7118997765;48.386216905000005, 36.7144547245;0,32;Малонебезпечні;4
24;Дніпропетровська ;М-30;Стрий - Умань - Дніпро - Ізварине (через мм. Вінницю, Кропивницький);1024+923;1025+100;48.5864931,35.5896207;48.5861238,35.5920378;0,18;null;4
25;Дніпропетровська ;Н-08;Бориспіль – Дніпро – Запоріжжя (через м. Кременчук) – Маріуполь;422+000;423+930;48.35096958, 35.02349709;48.3339279945, 35.027251021;0,42;Малонебезпечні;8
26;Дніпропетровська ;Н-11;Дніпро – Миколаїв (через м. Кривий Ріг);0+000;0+110;48.301855,34.4088087;48.301336,34.4078783;0,54;Малонебезпечні;5
27;Дніпропетровська ;Н-11;Дніпро – Миколаїв (через м. Кривий Ріг);0+900 ;1+001;48.2965521,34.3996466;48.295361,34.3976272;0,64;Малонебезпечні;6
28;Дніпропетровська ;Н-11;Дніпро – Миколаїв (через м. Кривий Ріг);3+500;3+500;48.2811551,34.3732832;48.2811551,34.3732832;0,43;Малонебезпечні;4
29;Дніпропетровська ;Н-11;Дніпро – Миколаїв (через м. Кривий Ріг);53+900;54+400;48.038874121999996, 33.841901230000005;48.03560164058823, 33.8374709017647;0,7;Малонебезпечні;6
30;Дніпропетровська ;Н-11;Дніпро – Миколаїв (через м. Кривий Ріг);79+850;80+010;47.941294747499995, 33.537257305500006;47.940994242, 33.5351635115;0,46;Малонебезпечні;4
31;Дніпропетровська ;Н-15;Запоріжжя – Донецьк;91+050;91+350;48.004635258, 36.297015846;48.005527088, 36.300808968;0,46;Малонебезпечні;4
32;Дніпропетровська ;Н-31;Дніпро – Царичанка – Кобеляки – Решетилівка;82+350;82+600;48.93775361, 34.48449387200001;48.939417382, 34.486350153;0,43;Малонебезпечні;4
33;Дніпропетровська ;Т-04-05;Дніпро - Хутірське;0+000;0+000;48.5273497, 350835631;48.5273497, 35.0835631;0,26;null;4
34;Донецька;Т-05-14;Добропілля – Лиман;89+800;90+020;48.9475822,37.8186612;48.9478641,37.8238245;0,66;Малонебезпечні;4
35;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);73+960 ;74+200;50.3922206, 29.5041226;50.391616, 29.5008828;0,18;null;4
36;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);77+000;77+200;50.3844842, 29.4629690;50.3839956, 29.4603883;0,18;null;4
37;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);79+000 ;79+200;50.3794036, 29.4360074;50.3788618, 29.4331462;0,22;null;5
38;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);103+001 ;103+250;50.3223906, 29.1094495;50.3223214, 29.1074624;0,18;null;4
39;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);105+700;105+900;50.3376333, 29.0849770;50.3390292, 29.0834419;0,18;null;4
40;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);108+700 ;108+800;50.3444983, 29.0465351;50.3442686, 29.0450318;0,16;null;4
41;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);123+000 ;123+200;50.2877951, 28.8831824;50.2877417, 28.8805172;0,2;null;5
42;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);126+900 ;127+200;50.2867783, 28.8284589;50.2866921, 28.8242508;0,32;null;8
43;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);139+000;139+200;50.3207394, 28.6845457;50.3212534, 28.6819677;0,29;null;4
44;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);145+000 ;145+200;50.3261067, 28.6019486;50.3260175, 28.5991725;0,29;null;4
45;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);146+000 ;146+500;50.3256552, 28.5879259;50.3249899, 28.5808579;0,51;Малонебезпечні;7
46;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);156+000;156+200;50.3109009, 28.4576057;50.3114030, 28.4549172;0,29;null;5
47;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);156+933 ;157+050;50.3132878, 28.4448533;50.314655, 28.4375328;0,24;null;4
48;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);176+000;176+100;50.4090525, 28.2311749;50.4096678, 28.2301778;0,24;null;4
49;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);200+100 ;200+200;50.5123118, 27.9361683;50.5127279, 27.9347585;0,32;null;4
50;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);229+000 ;229+200;50.6184779, 27.6077273;50.6177555, 27.6050073;0,22;null;4
51;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);230+000;230+200;50.6140687, 27.5954555;50.6131597, 27.5931817;0,22;null;4
52;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);231+200 ;231+200;50.6067962, 27.5834042;50.6067962, 27.5834042;0,22;null;4
53;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);232+000 ;232+200;50.6021512, 27.5748042;50.601129, 27.5723749;0,28;null;5
54;Житомирська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);250+000;250+200;50.6105160, 27.3254235;50.6106819, 27.3227299;0,28;null;5
55;Житомирська;М-07;Київ - Ковель - Ягодин (на м. Люблін);100+000 ;100+200;50.8010663, 29.3195853;50.8020834, 29.3171523;0,25;null;4
56;Житомирська;М-07;Київ - Ковель - Ягодин (на м. Люблін);140+600;140+800;50.9455093,28.7977773;50.9466073, 28.7954095;0,31;null;5
57;Житомирська;М-07;Київ - Ковель - Ягодин (на м. Люблін);151+000 ;151+200;50.9863284, 28.665636;50.9872616, 28.6630481;0,38;null;6
58;Житомирська;М-07;Київ - Ковель - Ягодин (на м. Люблін);153+000;153+200;50.9953305, 28.6409857;50.9962208, 28.6385438;0,26;null;4
59;Житомирська;М-07;Київ - Ковель - Ягодин (на м. Люблін);170+007 ;170+200;51.04617, 28.4089253;51.0441243, 28.4152148;0,25;null;4
60;Житомирська;М-21;Виступовичі - Житомир - Могилів-Подільський (через                м. Вінницю);158+010 ;158+100;50.4290075, 28.6794542;50.4290075, 28.6794542;0,26;null;4
61;Житомирська;М-21;Виступовичі - Житомир - Могилів-Подільський (через                м. Вінницю);169+000;169+150;50.3319141, 28.687627;50.3305426, 28.6873126;0,26;null;4
