№ п/п;Область;Індекс дороги;Назва дороги;Початок ділянки км, м;Кінець ділянки км, м;GPS-координати, початок (широта/довгота);GPS-координати, кінець (широта/довгота);Протяжність ділянки, м;Кількість ДТП за три роки до взяття на облік;;;;;;
1;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);336+500 ;337+343 ;49.391469, 27.881164;49.3905049, 27.8924857;843;4;;;;;;
2;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);368+408;368+538 ;49.276700 28.266228;49.276121 28.267492 ;130;4;;;;;;
3;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);371+500 ;371+800;49.259056 28.298702;49.257910 28.302161;300;8;;;;;;
4;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);376+897;377+003 ;49.249548 28.370556;49.248991 28.371872 ;106;12;;;;;;
5;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);377+200;378+089;49.247993 28.374242;49.243813 28.384101;889;8;;;;;;
6;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);391+000 ;391+908;49.281443 28.520630;49.280484 28.533019;908;4;;;;;;
7;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);395+590;395+882;49.259712 28.570918;49.256718 28.573165;478;15;;;;;;
8;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);401+200;402+100;49.217402 28.577809;49.215426 28.578472;900;5;;;;;;
9;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);408+188;408+478;49.184922 28.646489;49.182180 28.648567;290;6;;;;;;
10;Вінницька;М-30;Стрий – Умань – Дніпро – Ізварине  (через мм. Вінницю, Кропивницький);415+191;415+592 ;49.132582 28.695555;49.132582 28.695555 ;401;7;;;;;;
