№ п/п;Область;Аварійно-небезпечні ділянки;Місця (ділянки) концентрації дорожньо-транспортних
1;Вінницька;25;5
2;Волинська;18;5
3;Дніпропетровська;0;23
4;Донецька;0;1
5;Житомирська;8;40
6;Закарпатська;16;7
7;Запорізька;1;3
8;Івано-Франківська;31;14
9;Київська;27;83
10;Кіровоградська;37;11
11;Луганська;0;0
12;Львівська;114;76
13;Миколаївська;0;9
14;Одеська;18;11
15;Полтавська;9;3
16;Рівненська;1;23
17;Сумська;6;4
18;Тернопільська;10;12
19;Харківська;70;12
20;Херсонська;0;0
21;Хмельницька;19;19
22;Черкаська;5;12
23;Чернівецька;0;3
24;Чернігівська;5;3
